
Comment,Time Stamp (sec),Temperature (K),Field (Oe),Vlong (V),Vhall (V),Vr (V)
,3927057435.01985,8.00085067749023,132765.328125,-0.00000232560272,,
,3927057435.56541,8.00110816955566,132741.53125,-0.000000606330496,,
,3927057436.11479,8.00088787078857,132721.703125,-0.000000403077182,,
,3927057436.66209,8.00079917907715,132697.9375,-0.000000382217921,,
,3927057437.21015,8.00051879882813,132678.28125,-0.00000035974459,,
,3927057437.75824,8.00058364868164,132658.625,-0.000000334167209,,
,3927057438.29904,8.00001335144043,132638.84375,-0.000000329697375,,
,3927057438.84573,7.99995374679565,132615.03125,-0.000000344348497,,
,3927057439.42458,7.99939870834351,132591.203125,-0.000000332304778,,
,3927057439.97456,7.99896621704102,132571.46875,-0.000000333173901,,
,3927057440.58397,7.9992823600769,132548.03125,-0.0000003367746,,
,3927057441.17783,7.99898099899292,132524.296875,-0.000000349314965,,
,3927057441.72282,7.99884462356567,132500.53125,-0.000000338512868,,
,3927057442.26827,7.99903106689453,132476.734375,-0.000000350929072,,
,3927057442.81762,7.9992241859436,132456.90625,-0.000000338761192,,
,3927057443.36532,7.99919652938843,132437.125,-0.000000341989387,,
,3927057443.90883,7.99923753738403,132413.578125,-0.000000347328353,,
,3927057444.4516,7.99931001663208,132393.875,-0.000000338761174,,
,3927057445.00567,7.9991512298584,132369.890625,-0.000000347700839,,
,3927057445.5498,7.99943017959595,132350.140625,-0.000000336898744,,
,3927057446.10261,7.99950170516968,132330.28125,-0.000000342982683,,
,3927057446.65936,7.99958658218384,132306.6875,-0.000000333546352,,
,3927057447.20032,7.9998893737793,132282.96875,-0.00000032969733,,
,3927057447.74385,7.99983739852905,132263.15625,-0.000000670894492,,
,3927057448.2909,8.00026512145996,132243.59375,-0.00000220280518,,
,3927057448.83529,8.0000696182251,132219.8125,-0.0000023013898,,
,3927057449.38513,7.99990892410278,132196.140625,-0.00000233143701,,
,3927057449.93472,7.99957990646362,132176.34375,-0.00000232138003,,
,3927057450.48219,7.99944496154785,132152.75,-0.00000234397752,,
,3927057451.03118,7.99935388565063,132132.984375,-0.00000235291718,,
,3927057451.57418,7.99896097183228,132109.296875,-0.00000235664204,,
,3927057452.1196,7.99901533126831,132089.34375,-0.00000232709149,,
,3927057452.66597,7.99938011169434,132065.734375,-0.0000023515514,,
,3927057453.21654,7.99943971633911,132045.921875,-0.00000234633668,,
,3927057453.75634,7.9998984336853,132022.203125,-0.00000236272606,,
,3927057454.30625,7.99990892410278,132002.4375,-0.00000233913528,,
,3927057454.849,7.99951505661011,131982.65625,-0.00000235304143,,
,3927057455.39682,7.99975156784058,131958.75,-0.00000234745414,,
,3927057455.94029,8.00008010864258,131939.21875,-0.00000236123612,,
,3927057456.4929,8.00009155273438,131915.375,-0.00000234819959,,
,3927057457.03716,7.99957704544067,131895.46875,-0.00000235825671,,
,3927057457.58566,7.99967241287231,131875.75,-0.00000234174316,,
,3927057458.13338,7.99960088729858,131851.828125,-0.0000023524211,,
,3927057458.67714,7.99995374679565,131828.25,-0.00000235093115,,
,3927057459.22562,8.0000057220459,131808.8125,-0.00000233665252,,
,3927057459.77182,8.00004577636719,131785.140625,-0.00000235353852,,
,3927057460.32112,7.99957704544067,131765.296875,-0.00000156299885,,
,3927057460.86736,7.99957036972046,131741.453125,-0.000000463916523,,
,3927057461.4154,8.00066947937012,131721.640625,-0.000000394634108,,
,3927057461.96323,8.00025939941406,131701.921875,-0.000000359620414,,
,3927057462.51011,8.00038814544678,131678.359375,-0.000000355398905,,
,3927057463.05745,8.00068950653076,131658.546875,-0.000000348321648,,
,3927057463.60004,8.00076293945313,131634.75,-0.000000354157262,,
,3927057464.14801,8.00044059753418,131614.90625,-0.000000328207402,,
,3927057464.69344,7.99935388565063,131591.296875,-0.000000339009497,,
,3927057465.23573,7.99965238571167,131571.6875,-0.000000350184078,,
,3927057465.78371,7.99986410140991,131552,-0.000000343355167,,
,3927057466.33425,7.99869012832642,131528.25,-0.000000355895505,,
,3927057466.88366,7.99902200698853,131504.390625,-0.000000348818272,,
,3927057467.43688,7.99898099899292,131484.65625,-0.000000353660589,,
,3927057467.98301,7.99883413314819,131461,-0.000000346335032,,
,3927057468.53805,7.99856424331665,131441.328125,-0.000000355647181,,
,3927057469.07685,7.99835205078125,131417.4375,-0.000000338016179,,
,3927057469.62192,7.99932861328125,131397.671875,-0.000000354281399,,
,3927057470.16977,7.99852228164673,131373.96875,-0.00000036098612,,
,3927057470.71197,7.99852228164673,131354.203125,-0.000000350059867,,
